t_ms,raw,filtered
4081,1217213,1213979.500
4093,1219521,1214810.750
4106,1220014,1215591.250
4118,1219931,1216242.250
4131,1220533,1216885.875
4143,1220251,1217390.625
4155,1219702,1217737.375
4168,1219931,1218066.500
4180,1220687,1218459.625
4192,1220291,1218734.375
4205,1219856,1218902.625
4217,1220355,1219120.500
4229,1220489,1219325.750
4242,1217107,1218993.000
4254,1213099,1218108.875
4266,1211267,1217082.625
4279,1210106,1216036.125
4291,1209425,1215044.500
4303,1209594,1214227.000
4316,1211432,1213807.750
4328,1213379,1213743.500
4340,1215179,1213958.875
4353,1217538,1214495.750
4365,1220261,1215360.625
4377,1220685,1216159.375
4390,1220101,1216750.625
4402,1220088,1217251.250
4414,1220982,1217810.875
4427,1220707,1218245.250
4439,1220129,1218527.875
4451,1220228,1218783.000
4464,1221089,1219128.875
4476,1220851,1219387.250
4488,1220273,1219520.125
4501,1220564,1219676.750
4513,1219660,1219674.250
4525,1215729,1219082.500
4538,1213103,1218185.625
4550,1211488,1217181.000
4562,1210612,1216195.625
4575,1209327,1215165.375
4587,1208644,1214187.250
4599,1209689,1213512.500
4612,1211050,1213143.125
4624,1212257,1213010.250
4636,1214302,1213204.000
4649,1217917,1213911.000
4661,1220400,1214884.375
4673,1220603,1215742.250
4686,1220351,1216433.625
4698,1221061,1217127.750
4710,1221023,1217712.125
4723,1220489,1218128.625
4735,1220408,1218470.625
4747,1221275,1218891.375
4760,1220970,1219203.250
4772,1220458,1219391.500
4784,1220577,1219569.375
4797,1220841,1219760.125
4809,1217899,1219481.000
4821,1215703,1218914.375
4834,1214520,1218255.250
4846,1214084,1217629.625
4858,1213349,1216987.500
4871,1213533,1216469.375
4883,1215282,1216291.250
4895,1217229,1216431.875
4908,1218781,1216784.250
4920,1220013,1217268.625
4932,1221191,1217857.000
4945,1221333,1218378.500
4957,1220740,1218732.750
4969,1220400,1218982.875
4982,1221221,1219318.625
4994,1221237,1219606.375
5006,1220683,1219767.875
5019,1220456,1219871.125
5031,1221371,1220096.125
5044,1221205,1220262.500
5056,1220647,1220320.125
5068,1220514,1220349.250
5081,1221463,1220516.375
5093,1221096,1220603.375
5105,1220498,1220587.625
5118,1220621,1220592.625
5130,1221242,1220690.000
5142,1220947,1220728.500
5155,1220539,1220700.125
5167,1220816,1220717.500
5179,1221458,1220828.625
5192,1221047,1220861.375
5204,1220483,1220804.625
5216,1221023,1220837.375
5229,1221461,1220931.000
5241,1220925,1220930.125
5253,1220507,1220866.625
5266,1221262,1220926.000
5278,1221378,1220993.875
5290,1220851,1220972.500
5303,1220514,1220903.750
5315,1221299,1220963.000
5327,1221067,1220978.625
5340,1220510,1220908.375
5352,1220563,1220856.625
5364,1221122,1220896.500
5377,1218601,1220552.250
5389,1215939,1219860.250
5401,1213260,1218870.250
5414,1211493,1217763.750
5426,1208842,1216425.500
5438,1206342,1214913.000
5451,1204418,1213338.750
5463,1202576,1211724.375
5475,1199510,1209892.250
5488,1196672,1207909.250
5500,1195119,1205990.750
5512,1194397,1204251.750
5525,1193307,1202610.000
5537,1192326,1201067.375
5549,1192657,1199805.875
5562,1192908,1198771.250
5574,1192377,1197812.125
5586,1191446,1196857.250
5599,1191174,1196004.750
5611,1190238,1195139.750
5623,1189149,1194241.125
5636,1188575,1193391.250
5648,1188966,1192727.500
5660,1188279,1192060.250
5673,1187053,1191309.250
5685,1185977,1190509.375
5697,1186190,1189861.500
5710,1185589,1189220.625
5722,1185002,1188587.875
5734,1184924,1188038.375
5747,1185124,1187601.250
5759,1184050,1187068.625
5771,1182935,1186448.625
5784,1182312,1185828.125
5796,1181963,1185248.375
5808,1180557,1184544.625
5821,1179343,1183764.375
5833,1179311,1183096.375
5845,1179811,1182603.625
5858,1179917,1182200.625
5870,1180769,1181985.875
5882,1182673,1182089.000
5895,1183917,1182363.250
5907,1183548,1182541.000
5920,1182930,1182599.375
5932,1183280,1182701.500
5944,1182995,1182745.625
5957,1182172,1182659.625
5969,1181402,1182471.000
5981,1181215,1182282.625
5994,1180303,1181985.750
6006,1179345,1181589.750
6018,1178879,1181183.125
6031,1179209,1180887.000
6043,1178686,1180556.875
6055,1178139,1180194.250
6068,1178337,1179915.625
6080,1179222,1179811.625
6092,1178730,1179649.500
6105,1177439,1179318.000
6117,1176447,1178887.375
6129,1175970,1178449.875
6142,1174814,1177904.500
6154,1173904,1177304.500
6166,1174094,1176823.000
6179,1174265,1176439.375
6191,1173508,1175999.750
6203,1172978,1175546.500
6216,1173990,1175313.125
6228,1174690,1175219.750
6240,1174174,1175062.875
6253,1173094,1174767.625
6265,1172921,1174490.625
6277,1172333,1174167.000
6290,1171529,1173771.375
6302,1171381,1173412.875
6314,1172220,1173234.000
6327,1171848,1173026.125
6339,1170703,1172677.750
6351,1170187,1172304.125
6364,1171150,1172131.125
6376,1171444,1172028.125
6388,1171438,1171939.625
6401,1172328,1171997.875
6413,1174113,1172315.250
6425,1174625,1172661.750
6438,1175027,1173016.500
6450,1176317,1173511.625
6462,1177955,1174178.250
6475,1178580,1174838.625
6487,1179828,1175587.125
6499,1182527,1176628.125
6512,1185480,1177956.000
6524,1187126,1179331.500
6536,1187548,1180564.000
6549,1189077,1181841.000
6561,1190774,1183181.000
6573,1192161,1184528.000
6586,1194616,1186041.250
6598,1199381,1188042.250
6610,1204313,1190482.875
6623,1208584,1193198.125
6635,1211957,1196012.000
6647,1214828,1198834.500
6660,1215675,1201360.625
6672,1215967,1203551.625
6684,1217191,1205597.625
6697,1219583,1207695.500
6709,1220642,1209637.500
6721,1220742,1211303.125
6734,1220946,1212749.625
6746,1221772,1214103.000
6758,1221259,1215176.375
6771,1220566,1215984.875
6783,1220904,1216722.750
6796,1221613,1217456.375
6808,1221166,1218012.875
6820,1220685,1218413.750
6833,1221233,1218836.625
6845,1221639,1219257.000
6857,1221126,1219537.375
6870,1220634,1219701.875
6882,1221256,1219935.000
6894,1221443,1220161.250
6907,1221058,1220295.750
6919,1220815,1220373.750
6931,1221459,1220536.500
6944,1221319,1220653.875
6956,1220810,1220677.375
6968,1220652,1220673.625
6981,1221629,1220817.000
6993,1221482,1220916.750
7005,1220834,1220904.375
7018,1220792,1220887.500
7030,1221565,1220989.125
7042,1221304,1221036.375
7055,1220686,1220983.875
7067,1220806,1220957.250
7079,1221598,1221053.375
7092,1221268,1221085.625
7104,1220772,1221038.625
7116,1221082,1221045.125
7129,1221679,1221140.250
7141,1221154,1221142.375
7153,1220673,1221072.000
